Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_RANDOM,,15,,19,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,1.455,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,1.645,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,1.745,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,2.765,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,3.190,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,3.395,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,3.410,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,3.455,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,3.480,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,3.825,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,3.965,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,4.060,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,8.495,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,8.765,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,9.240,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,9.410,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,9.490,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,9.671,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,9.815,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,14.430,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,17.810,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,18.005,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,18.700,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,26.540,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,27.845,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,60.730,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,61.200,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,61.230,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,70.725,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,70.780,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,70.800,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,70.945,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,70.955,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,72.635,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,72.680,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,72.960,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,73.085,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,75.930,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,75.955,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,76.315,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,76.435,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,76.550,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,76.650,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,76.760,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,76.790,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,87.060,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,89.300,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,89.335,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,91.385,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,91.610,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,91.630,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,92.215,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,93.285,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,93.290,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,93.810,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,93.835,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,93.885,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,93.890,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,94.130,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,94.171,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,94.250,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,94.275,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,94.300,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,94.370,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,94.455,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,94.515,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,94.546,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,94.585,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,95.080,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,95.105,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,96.671,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,96.685,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,96.970,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,97.490,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,99.245,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,99.675,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,99.760,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,99.895,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,15,,19,99.921,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,100.040,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,100.270,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,15,,19,100.275,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,100.630,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,15,,19,100.660,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,100.740,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,100.921,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,101.046,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,15,,19,102.300,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,103.385,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,103.640,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,103.925,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,103.945,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,103.985,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,104.125,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,104.730,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,104.750,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,104.875,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,116.835,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,116.921,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,116.965,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,117.005,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,15,,19,117.215,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,117.390,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,119.270,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,120.005,0,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,120.010,1,351,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,121.075,351,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,121.475,351,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,15,,19,121.605,351,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,121.740,351,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,121.770,351,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,121.985,351,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,122.120,351,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,122.280,351,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,122.700,351,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,123.865,351,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,123.925,351,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,124.235,351,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,124.785,351,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,125.060,351,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,125.090,351,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,132.010,351,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,132.015,1,219,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,133.745,219,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,144.015,219,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,144.020,1,78,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,144.090,78,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,144.610,78,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,148.395,78,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,153.930,78,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,153.970,78,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,154.040,78,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,154.160,78,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,15,,19,156.020,78,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,156.025,1,210,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,161.425,210,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,161.575,210,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,163.925,210,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,163.985,210,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,15,,19,167.020,210,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,168.025,210,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,168.030,1,39,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,176.605,39,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,176.680,39,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,176.745,39,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,176.765,39,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,176.940,39,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,176.945,39,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,177.050,39,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,179.335,39,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,180.030,39,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,180.035,1,252,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,183.520,252,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,189.210,252,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,189.245,252,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,189.480,252,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,189.515,252,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,189.720,252,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,190.405,252,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,190.440,252,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,191.180,252,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,191.250,252,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,192.035,252,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,192.040,1,318,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,194.370,318,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,200.495,318,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,204.040,318,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,204.046,1,336,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,214.796,336,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,216.046,336,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,216.050,1,186,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,218.750,186,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,218.796,186,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,218.870,186,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,218.910,186,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,219.095,186,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,228.050,186,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,228.055,1,225,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,233.035,225,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,15,,19,235.645,225,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,15,,19,236.965,225,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,15,,19,237.095,225,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,15,,19,240.055,225,1,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,240.060,1,108,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,15,,19,242.290,108,0,0,0,0,0,0,0,0,0,1
